timestamp,content name,environment,lineID,trade count,quote count,anomaly
1711846800,onl,qa,101,16,15,0
1711846800,onl,pt,101,16,15,0
1711846800,onl,dr,101,16,15,0
1711846800,onl,pr,101,16,1,1
1711846800,onl,qa,102,34,12,0
1711846800,onl,pt,102,34,12,0
1711846800,onl,dr,102,34,12,0
1711846800,onl,pr,102,34,12,0
1711846800,onl,qa,103,39,10,0
1711846800,onl,pt,103,39,10,0
1711846800,onl,dr,103,39,10,0
1711846800,onl,pr,103,39,10,0
1711846800,onl,qa,104,48,21,0
1711846800,onl,pt,104,48,21,0
1711846800,onl,dr,104,48,21,0
1711846800,onl,pr,104,48,21,0
1711846800,fut,qa,105,27,41,0
1711846800,fut,pt,105,27,41,0
1711846800,fut,dr,105,27,41,0
1711846800,fut,pr,105,7,41,1
1711846800,fut,qa,106,12,49,0
1711846800,fut,pt,106,12,49,0
1711846800,fut,dr,106,12,49,0
1711846800,fut,pr,106,12,49,0
1711846800,fut,qa,107,38,39,0
1711846800,fut,pt,107,38,39,0
1711846800,fut,dr,107,38,39,0
1711846800,fut,pr,107,38,39,0
1711846800,fut,qa,108,13,17,0
1711846800,fut,pt,108,13,17,0
1711846800,fut,dr,108,1,17,1
1711846800,fut,pr,108,13,17,0
1711846800,otc,qa,109,50,23,0
1711846800,otc,pt,109,50,23,0
1711846800,otc,dr,109,50,23,0
1711846800,otc,pr,109,50,23,0
1711846800,otc,qa,110,100,35,1
1711846800,otc,pt,110,1,35,0
1711846800,otc,dr,110,1,35,0
1711846800,otc,pr,110,1,35,0
1711846800,otc,qa,111,41,24,0
1711846800,otc,pt,111,41,24,0
1711846800,otc,dr,111,41,24,0
1711846800,otc,pr,111,41,24,0
1711846800,otc,qa,112,8,4,0
1711846800,otc,pt,112,8,4,0
1711846800,otc,dr,112,8,4,0
1711846800,otc,pr,112,8,4,0
1711846800,wth,qa,113,9,7,0
1711846800,wth,pt,113,9,7,0
1711846800,wth,dr,113,9,7,0
1711846800,wth,pr,113,9,7,0
1711846800,wth,qa,114,24,21,0
1711846800,wth,pt,114,24,21,0
1711846800,wth,dr,114,24,21,0
1711846800,wth,pr,114,24,21,0
1711846800,wth,qa,115,14,26,0
1711846800,wth,pt,115,14,26,0
1711846800,wth,dr,115,14,26,0
1711846800,wth,pr,115,14,26,0
1711846800,wth,qa,116,0,3,0
